STAID,CLASS,AGGECOREGION,WR_REPORT_REMARKS,ADR_CITATION,SCREENING_COMMENTS (WSC),WSC_CLASS (AK-HI-PR only)
15484000,Ref,Alaska,,http://wdr.water.usgs.gov/wy2009/pdfs/15484000.2009.pdf,,1
15493000,Ref,Alaska,,http://wdr.water.usgs.gov/wy2009/pdfs/15493000.2009.pdf,,1
15511000,Ref,Alaska,,http://wdr.water.usgs.gov/wy2009/pdfs/15511000.2009.pdf,,1
15515060,Non-ref,Alaska,,http://wdr.water.usgs.gov/wy2009/pdfs/15515060.2009.pdf,mine development  ,2
15515080,Non-ref,Alaska,,http://wdr.water.usgs.gov/wy2009/pdfs/15515080.2009.pdf,mine development  ,2
15516000,Ref,Alaska,Some diurnal fluctuation at times each year caused snow and glacier melt.,1972 ADR,,1
15518000,Ref,Alaska,Some diurnal fluctuation at times each year caused by snowmelt at the source. Release of water from glacier dammed lake on Yanert Glacier about 50 mi (80 km) upstream caused some peak flows at station. A flood of this nature apparently occurried in early,1975 ADR,,1
15564879,Ref,Alaska,,http://wdr.water.usgs.gov/wy2009/pdfs/15564879.2009.pdf,,1
15564900,Ref,Alaska,,1975 ADR,,1
15743850,Ref,Alaska,,http://wdr.water.usgs.gov/wy2009/pdfs/15743850.2009.pdf,,1
15747000,Non-ref,Alaska,Flow from 2.8 square miles of the drainage basin is regulated by a tailings dam at the Red Dog Mine site. Up to 25 ft³/s of the flow at the gage may be discharge from Red Dog Mine during the summer period.,http://wdr.water.usgs.gov/wy2009/pdfs/15747000.2009.pdf,,2
15803000,Ref,Alaska,,http://wdr.water.usgs.gov/wy2009/pdfs/15803000.2009.pdf,,1
15820000,Ref,Alaska,,http://wdr.water.usgs.gov/wy2009/pdfs/15820000.2009.pdf,,1
15860000,Ref,Alaska,,http://wdr.water.usgs.gov/wy2009/pdfs/15860000.2009.pdf,,1
15861000,Ref,Alaska,,http://wdr.water.usgs.gov/wy2009/pdfs/15861000.2009.pdf,,1
15896000,Ref,Alaska,,http://wdr.water.usgs.gov/wy2009/pdfs/15896000.2009.pdf,,1
15904800,Non-ref,Alaska,,http://wdr.water.usgs.gov/wy2009/pdfs/15904800.2009.pdf,"records poor, this is a very difficult stream to measure",1
15908000,Ref,Alaska,,http://wdr.water.usgs.gov/wy2009/pdfs/15908000.2009.pdf,,1
16010000,Ref,Hawaii,No diversion upstream.,http://wdr.water.usgs.gov/wy2009/pdfs/16010000.2009.pdf,unregulated,1
16013000,Non-ref,Hawaii,"Beginning July 16, 1970, diversion by Mohihi Canal 0.7 mile above station for irrigation in  vicinity of Kekaha.",1970 ADR,low-flow regulated after 7/1970,3
16019000,Ref,Hawaii,No diversion upstream.,http://wdr.water.usgs.gov/wy2009/pdfs/16019000.2009.pdf,unregulated; long-term trend station,1
16031000,Non-ref,Hawaii,Several upstream diversions for power and irrigation.,1984 ADR,regulated,3
16036000,Non-ref,Hawaii,Olokele ditch diverts all low flow from the headwaters of the Olokele River 9 mi upstream for irrigation in vicinity of Makaweli. A 5 ft³/s capacity ditch diverts water 0.1 mi upstream of station for irrigation of taro in the vicinity of the station.,http://wdr.water.usgs.gov/wy2006/pdfs/16036000.2006.pdf,low-flow regulated,3
16049000,Non-ref,Hawaii,Koula ditch diverts water 3.0 mi upstream of station for irrigation in vicinity of Makaweli.,http://wdr.water.usgs.gov/wy2009/pdfs/16049000.2009.pdf,low-flow regulated; possibly combine with 16043000,3
16060000,Non-ref,Hawaii,,http://wdr.water.usgs.gov/wy2009/pdfs/16060000.2009.pdf,low-flow regulated; possibly combine with 16057000 and 16058000,3
16063000,Non-ref,Hawaii,"Since 1925, Hanalei tunnel (station 16100000) has diverted from Hanalei River basin into North Fork Wailua River above station; North Wailua and Stable storm ditches (station 16061000 and 160620000) divert water abv station for power development and irrig",1984 ADR,low-flow regulated,3
16068000,Ref,Hawaii,No diversion upstream.,http://wdr.water.usgs.gov/wy2009/pdfs/16068000.2009.pdf,unregulated; long-term trend station,1
16071000,Non-ref,Hawaii,Wailua ditch (station 16069000) diverts water upstream for irrigation of sugarcane in vicinities of Kapaa and Wailua,2000 ADR,low-flow regulated,3
16071500,Ref,Hawaii,,http://wdr.water.usgs.gov/wy2009/pdfs/16071500.2009.pdf,unregulated,1
16080000,Non-ref,Hawaii,Entire low flow is diverted above station at times for irrigation of sugarcane. Records do not include flow of Kapahi ditch (sta 16079000).,1984 ADR,low-flow regulated,3
16089000,Non-ref,Hawaii,Records include flow in Lower Anahola ditch (see sta 16091000). Anahola ditch (see 16088000) diverts 3mi above station for irrigation in vicinity of Kealia.,1984 ADR,low-flow regulated,3
16097500,Ref,Hawaii,,http://wdr.water.usgs.gov/wy2009/pdfs/16097500.2009.pdf,unregulated; long-term trend station,1
16103000,Non-ref,Hawaii,No diversions upstream.,http://wdr.water.usgs.gov/wy2009/pdfs/16103000.2009.pdf,low-flow regulated; unregulated after Hurricane Iniki 09/1992?,2
16108000,Ref,Hawaii,No diversion upstream.,http://wdr.water.usgs.gov/wy2009/pdfs/16108000.2009.pdf,unregulated; long-term trend station,1
16200000,Ref,Hawaii,,http://wdr.water.usgs.gov/wy2009/pdfs/16200000.2009.pdf,unregulated; long-term trend station,1
16208000,Non-ref,Hawaii,"Prior to 1960, water was diverted from reservoirs upstream of station for use at Schofield Barracks.",http://wdr.water.usgs.gov/wy2009/pdfs/16208000.2009.pdf,low-flow regulated; unregulated after 10/1966?,2
16211000,Non-ref,Hawaii,Poamoho tunnel diverts 180 ft above station to North Fork Kaukonahua Stream to augment storage in Wahiawa Reservoir.,1970 ADR,low-flow regulated,3
16211600,Non-ref,Hawaii,"Records fair, except for flows greater than 40 ft³/s and estimated days which are poor. Honolulu Board of Water Supply wells upstream of station may influence flows at gage.",http://wdr.water.usgs.gov/wy2009/pdfs/16211600.2009.pdf,affected by groundwater withdrawal,3
16212601,Non-ref,Hawaii,,http://wdr.water.usgs.gov/wy2009/pdfs/16212601.2009.pdf,continuous record available only since 09/2007; urban and ag setting,3
16212800,Non-ref,Hawaii,"At times, a small amount of water is diverted from the gage pool for the domestic use.",http://wdr.water.usgs.gov/wy2009/pdfs/16212800.2009.pdf,mainly unregulated,2
16213000,Non-ref,Hawaii,,http://wdr.water.usgs.gov/wy2009/pdfs/16213000.2009.pdf,low-flow regulated; urban and ag setting,3
16216000,Non-ref,Hawaii,Pearl Harbor Springs measurement.,http://wdr.water.usgs.gov/wy2009/pdfs/16216000.2009.pdf,low-flow regulated; urban setting,3
16224500,Non-ref,Hawaii,,http://wdr.water.usgs.gov/wy2009/pdfs/16224500.2009.pdf,low-flow regulated; urban setting,3
16226000,Non-ref,Hawaii,,http://wdr.water.usgs.gov/wy2006/pdfs/16226000.2006.pdf,upstream of discharge from H-3 freeway,2
16226200,Non-ref,Hawaii,,http://wdr.water.usgs.gov/wy2009/pdfs/16226200.2009.pdf,receives runoff from H-3 freeway,2
16226400,Non-ref,Hawaii,,http://wdr.water.usgs.gov/wy2009/pdfs/16226400.2009.pdf,receives runoff from H-3 freeway; industrial setting,2
16228000,Ref,Hawaii,No diversion above station.,1970 ADR,unregulated,1
16229000,Ref,Hawaii,,http://wdr.water.usgs.gov/wy2009/pdfs/16229000.2009.pdf,unregulated; long-term trend station,1
16229300,Non-ref,Hawaii,No diversion above station.,1984 ADR,unregulated; urban setting,3
16232000,Non-ref,Hawaii,,http://wdr.water.usgs.gov/wy2009/pdfs/16232000.2009.pdf,regulated; upstream reservoir,3
16238500,Non-ref,Hawaii,,http://wdr.water.usgs.gov/wy2009/pdfs/16238500.2009.pdf,low-flow regulated; upstream groundwater development tunnel,2
16240500,Non-ref,Hawaii,Honolulu Board of Water Supply at times diverts a small amount of ground water from tunnel upstream of station. Occasional small diversions for irrigation upstream of station.,http://wdr.water.usgs.gov/wy2009/pdfs/16240500.2009.pdf,low-flow regulated; upstream groundwater development tunnel,3
16242500,Non-ref,Hawaii,,http://wdr.water.usgs.gov/wy2009/pdfs/16242500.2009.pdf,,
16244000,Non-ref,Hawaii,No diversion above station.,1970 ADR,"possible urban effects, upstream groundwater development tunnel?",2
16246000,Non-ref,Hawaii,Honolulu Board of Water Supply  diverts ground water from tunnels in drainage area.,1970 ADR,low-flow regulated; upstream groundwater development tunnel,3
16247000,Non-ref,Hawaii,,http://wdr.water.usgs.gov/wy2009/pdfs/16247000.2009.pdf,low-flow regulated; upstream groundwater development tunnel; urban setting,3
16254000,Non-ref,Hawaii,Maunawili ditch diverts ground and surface water 1.5 miles upstream of station at elevation 920 feet for irrigation in vicinity of Waimanalo.,http://wdr.water.usgs.gov/wy2009/pdfs/16254000.2009.pdf,low-flow regulated,3
16272200,Non-ref,Hawaii,,http://wdr.water.usgs.gov/wy2009/pdfs/16272200.2009.pdf,regulated; upstream reservoir,3
16275000,Non-ref,Hawaii,Honolulu Board of Water Supply has diverted ground water from tunnel in drainage area since 1943.,http://wdr.water.usgs.gov/wy2009/pdfs/16275000.2009.pdf,low-flow regulated since 1944,3
16283200,Non-ref,Hawaii,"Honolulu Board of Water Supply has diverted ground water from tunnel in drainage area since 1947. At times, farmers upstream of gage pump and/or divert small amounts of water from the stream.",http://wdr.water.usgs.gov/wy2009/pdfs/16283200.2009.pdf,low-flow regulated,3
16284000,Non-ref,Hawaii,Honolulu Board of Water Supply diverts water from wells in drainage area.,1970 ADR,low-flow regulated; Waihee groundwater tunnel,3
16284200,Non-ref,Hawaii,Honolulu Board of Water Supply diverts water from tunnel and wells in drainage area.,http://wdr.water.usgs.gov/wy2009/pdfs/16284200.2009.pdf,low-flow regulated; Waihee groundwater tunnel,3
16294100,Non-ref,Hawaii,"Waiahole ditch diverts ground water from tunnels upstream of station. Beginning early December 1994, Waiahole Ditch began releasing water into Waiahole Stream.",http://wdr.water.usgs.gov/wy2009/pdfs/16294100.2009.pdf,low-flow regulated; upstream groundwater development tunnels,3
16294900,Non-ref,Hawaii,"Waiahole ditch diverts ground water from tunnels upstream of station. Beginning early October, 2002, Waiahole Ditch began releasing water into Waikane Stream.",http://wdr.water.usgs.gov/wy2009/pdfs/16294900.2009.pdf,low-flow regulated; upstream groundwater development tunnels,3
16295300,Non-ref,Hawaii,Small diversion upstream of gage for diversified agriculture.,http://wdr.water.usgs.gov/wy2008/pdfs/16295300.2008.pdf,small diversion upstream for diversified ag,2
16296500,Non-ref,Hawaii,Waiahole ditch diverts water from tributaries and tunnels upstream of station. Recording rain gage located 50 feet from the streamgage at an elevation of 80 feet.,http://wdr.water.usgs.gov/wy2008/pdfs/16296500.2008.pdf,low-flow regulated; upstream groundwater development tunnels,3
16303000,Ref,Hawaii,Records good and does not include the flow of Punaluu Ditch (see station 16302000).,http://wdr.water.usgs.gov/wy2008/pdfs/16303000.2008.pdf,use 16303003 (combined flow from 16303000 and 16302000),1
16304200,Non-ref,Hawaii,No diversion upstream of station.,http://wdr.water.usgs.gov/wy2009/pdfs/16304200.2009.pdf,unregulated,1
16325000,Ref,Hawaii,No diversion upsteam of station.,2000 ADR,unregulated,1
16330000,Non-ref,Hawaii,Small diversion upstream of station.,http://wdr.water.usgs.gov/wy2009/pdfs/16330000.2009.pdf,low-flow regulated,3
16345000,Ref,Hawaii,No diversion upstream of station.,http://wdr.water.usgs.gov/wy2009/pdfs/16345000.2009.pdf,unregulated,1
16400000,Ref,Hawaii,No diversion upstream.,http://wdr.water.usgs.gov/wy2009/pdfs/16400000.2009.pdf,unregulated; long-term trend station,1
16404200,Ref,Hawaii,No diversion above station.,1984 ADR,unregulated,1
16405500,Non-ref,Hawaii,"Since November 16, 1960, water diverted upstream at times, either into or from Molokai tunnel.",2000 ADR,low-flow regulated after 11/1960,3
16408000,Non-ref,Hawaii,"Diversions above station for domestic use in Kalaupapa, and since Nov 16, 1960, water has been diverted above station both to and from the Molokai tunnel.",1984 ADR,low-flow regulated after 11/1960,3
16414000,Non-ref,Hawaii,Flow has been augmented by occasional spillage from Molokai tunnel since May 1965.,1984 ADR,low-flow regulated after 5/1965,3
16414200,Non-ref,Hawaii,No diversions upstream.  Flow has been augmented by occasional spillage from Molokai Tunnel since February 2003.,http://wdr.water.usgs.gov/wy2009/pdfs/16414200.2009.pdf,,
16415000,Non-ref,Hawaii,Molokai Ranch diverts from gage pool.,1970 ADR,low-flow regulated,3
16415600,Non-ref,Hawaii,"Flow in East Fork affected by diversions to Molokai Irrigation System pipeline at elevation 3,625 ft.",http://wdr.water.usgs.gov/wy2009/pdfs/16415600.2009.pdf,low-flow regulated; upstream diversion,3
16419500,Non-ref,Hawaii,Diverson upstream of station for domestic use at Puu O Hoka Ranch.,2000 ADR,low-flow regulated,3
16501000,Non-ref,Hawaii,No diversion upstream,1970 ADR,small amount diverted by Ulupalakua Ranch (1939); no diversion as of 08/1948,2
16501200,Ref,Hawaii,No diversions upstream of gage.,http://wdr.water.usgs.gov/wy2009/pdfs/16501200.2009.pdf,,
16508000,Ref,Hawaii,No diversion upstream of station.,http://wdr.water.usgs.gov/wy2009/pdfs/16508000.2009.pdf,unregulated; long-term trend station,1
16518000,Ref,Hawaii,"No diversion upstream of station. Water is diverted by Koolau Ditch, 500 ft downstream, for domestic supply and irrigation of sugarcane in central Maui.",http://wdr.water.usgs.gov/wy2009/pdfs/16518000.2009.pdf,unregulated,1
16521300,Non-ref,Hawaii,,http://wdr.water.usgs.gov/wy2009/pdfs/16521300.2009.pdf,EMI diversion no longer active?; some flow may not be measured by gage,3
16545000,Non-ref,Hawaii,"Kula pipeline diverts above station at altitudes 4,300 ft (since 1934) and 3,200 ft (since 1944) for domestic use.",1970 ADR,low-flow regulated,3
16570000,Ref,Hawaii,No diversion upstream since 1922.,1970 ADR,unregulated since 1922,1
16585000,Ref,Hawaii,"No diversion above station. All low flow diverted into Wailoa ditch 250 ft below station for domestic supply, power, and irrigation in central Maui.",1970 ADR,unregulated,1
16587000,Ref,Hawaii,No diversion upstream of station.,http://wdr.water.usgs.gov/wy2009/pdfs/16587000.2009.pdf,unregulated; long-term trend station,1
16604500,Non-ref,Hawaii,No appreciable diversion upstream of station.,http://wdr.water.usgs.gov/wy2009/pdfs/16604500.2009.pdf,possible effects from groundwater development tunnels upstream,2
16614000,Non-ref,Hawaii,No diversion upstream of station.,http://wdr.water.usgs.gov/wy2009/pdfs/16614000.2009.pdf,possible effects from groundwater development tunnels upstream,2
16618000,Ref,Hawaii,No diversion upstream of station.,http://wdr.water.usgs.gov/wy2009/pdfs/16618000.2009.pdf,unregulated; long-term trend station,1
16620000,Ref,Hawaii,No diversion upstream of station.,http://wdr.water.usgs.gov/wy2009/pdfs/16620000.2009.pdf,unregulated; long-term trend station,1
16638500,Non-ref,Hawaii,,http://wdr.water.usgs.gov/wy2009/pdfs/16638500.2009.pdf,low-flow regulated,3
16681000,Non-ref,Hawaii,,http://wdr.water.usgs.gov/wy2009/pdfs/16681000.2009.pdf,"basin affected by bombing, goats; revegetation efforts ongoing",3
16682000,Non-ref,Hawaii,,http://wdr.water.usgs.gov/wy2009/pdfs/16682000.2009.pdf,"basin affected by bombing, goats; revegetation efforts ongoing",3
16700000,Non-ref,Hawaii,No diversion upstream. Large part comes from 3 tunnels.,1985 ADR,unregulated; poorly defined basin; high flows may bypass gage,3
16704000,Non-ref,Hawaii,Kapehu ditch diverted water from Kapehu Stream into Wailuku River upstream 1938-63. Department of Water Supply diverted about 6 ft³/s of water upstream of gage until 1967. Hydroelectric plant diverts variable amounts of water up to 160 ft³/s about 1 mi up,http://wdr.water.usgs.gov/wy2009/pdfs/16704000.2009.pdf,low-flow regulated,3
16717000,Ref,Hawaii,"No diversion upstream. During period 1911-13, Honolii ditch diverted an average of about 3.2 ft³/s upstream for fluming cane and domestic use.",http://wdr.water.usgs.gov/wy2009/pdfs/16717000.2009.pdf,unregulated; long-term trend station,1
16720000,Ref,Hawaii,No diversion upstream.,http://wdr.water.usgs.gov/wy2009/pdfs/16720000.2009.pdf,unregulated; long-term trend station,1
16720300,Ref,Hawaii,No diversion upstream.,1985 ADR,unregulated,1
16725000,Non-ref,Hawaii,Parker Ranch pipeline no longer diverts from tributary 0.4 mi upstream for ranch use in Kamuela area.,http://wdr.water.usgs.gov/wy2009/pdfs/16725000.2009.pdf,no longer diverted,2
16756100,Non-ref,Hawaii,"Parker Ranch diverts water from Kohakohau Stream at an altitude of 4,250 ft through a 4-inch pipeline. Hawaii Dept of Water Supply diverts water at dam 200 ft downstream for domestic use in the Kamuela and Kawaihae areas since August 20, 1973.",http://wdr.water.usgs.gov/wy2009/pdfs/16756100.2009.pdf,"uncertain status of upstream diversion from two 4"" pipes by Parker Ranch",2
16757000,Non-ref,Hawaii,No diversion upstream.,1970 ADR,unregulated,1
16758000,Non-ref,Hawaii,Parker Ranch diverts less than 1 ft³/s through a 6-in. pipe upstream of gage.,http://wdr.water.usgs.gov/wy2009/pdfs/16758000.2009.pdf,low-flow regulated,3
16759000,Non-ref,Hawaii,Diversions upstream for livestock and domestic use.,2000 ADR,"low-flow regulated; 2"" and 3"" pipes always running",3
16759800,Ref,Hawaii,No diversion upstream.,1970 ADR,unregulated,1
16764000,Ref,Hawaii,No diversion upstream.,1985 ADR,unregulated,1
16770500,Non-ref,Hawaii,No diversion upstream.,http://wdr.water.usgs.gov/wy2009/pdfs/16770500.2009.pdf,unregulated,1
50010500,Non-ref,PuertoRico,Small diversion above station for sewage treatment plant; effluent re-enters stream below station. Record affected by domestic discharges entering upstream right bank of bridge.,http://wdr.water.usgs.gov/wy2009/pdfs/50010500.2009.pdf,Flow regime is affected significantly by withdrawals (10 to 50%).,3
50014800,Non-ref,PuertoRico,,http://wdr.water.usgs.gov/wy2008/pdfs/50014800.2008.pdf,Low flows affected by water supply withdrawals (5 to 7%).,2
50021700,Non-ref,PuertoRico,Flow regulated by Lago Adjuntas Dam approximately 5.2 mi (8.37 km) upstream.,http://wdr.water.usgs.gov/wy2009/pdfs/50021700.2009.pdf,"Flows affected by WTP withdrawals, WWTP discharges, and diversions at two dams.",3
50024950,Non-ref,PuertoRico,Flow regulated by Lago Adjuntas Dam approximately 6.0 mi (9.66 km) upstream.,http://wdr.water.usgs.gov/wy2009/pdfs/50024950.2009.pdf,"Flow affected gy WTP withdrawals, WWTP discharges, and regulations by 3 dams.",3
50025155,Ref,PuertoRico,,http://wdr.water.usgs.gov/wy2009/pdfs/50025155.2009.pdf,No-flow regulation or withdrawals upstream from station.,1
50026025,Non-ref,PuertoRico,,http://wdr.water.usgs.gov/wy2009/pdfs/50026025.2009.pdf,Flows affected by WTP withdrawals and WWTP discharges.,3
50026200,Non-ref,PuertoRico,,http://wdr.water.usgs.gov/wy2006/pdfs/50026200.2006.pdf,Flows affected by WTP withdrawals WWTP discharges and dams operations.,3
